"","ID","Name_submitted","Overall_score","Name_matched_id","Name_matched","Name_score","Name_matched_rank","Author_submitted","Author_matched","Author_score","Canonical_author","Name_matched_accepted_family","Genus_submitted","Genus_matched","Genus_score","Specific_epithet_submitted","Specific_epithet_matched","Specific_epithet_score","Family_submitted","Family_matched","Family_score","Infraspecific_rank","Infraspecific_epithet_matched","Infraspecific_epithet_score","Infraspecific_rank_2","Infraspecific_epithet_2_matched","Infraspecific_epithet_2_score","Annotations","Unmatched_terms","Name_matched_url","Name_matched_lsid","Phonetic","Taxonomic_status","Accepted_name","Accepted_species","Accepted_name_author","Accepted_name_id","Accepted_name_rank","Accepted_name_url","Accepted_name_lsid","Accepted_family","Overall_score_order","Highertaxa_score_order","Source","Warnings","WarningsEng"
"223","313","Mimosa mossambicensis",1,"162938","Mimosa mossambicensis",1,"species","","",NA,"Brenan","Fabaceae","Mimosa","Mimosa",1,"mossambicensis","mossambicensis",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:508356-1","","Y","Accepted","Mimosa mossambicensis","Mimosa mossambicensis","Brenan","162938","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:508356-1","","Fabaceae","1","1","wcvp","0",""
"224","314","Mimosa myriadenia",1,"1587642","Mimosa myriadenia",1,"species","","",NA,"(Benth.) Benth.","Fabaceae","Mimosa","Mimosa",1,"myriadenia","myriadenia",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:508366-1","","Y","Accepted","Mimosa myriadenia","Mimosa myriadenia","(Benth.) Benth.","1587642","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:508366-1","","Fabaceae","1","1","wcvp","0",""
"225","315","Mimosa myriocephala",1,"192656","Mimosa myriocephala",1,"species","","",NA,"Baker","Fabaceae","Mimosa","Mimosa",1,"myriocephala","myriocephala",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:508367-1","","Y","Accepted","Mimosa myriocephala","Mimosa myriocephala","Baker","192656","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:508367-1","","Fabaceae","1","1","wcvp","0",""
"226","316","Mimosa myrioglandulosa",1,"1287174","Mimosa myrioglandulosa",1,"species","","",NA,"V.F.Dutra & F.C.P.García","Fabaceae","Mimosa","Mimosa",1,"myrioglandulosa","myrioglandulosa",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77123261-1","","Y","Accepted","Mimosa myrioglandulosa","Mimosa myrioglandulosa","V.F.Dutra & F.C.P.García","1287174","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77123261-1","","Fabaceae","1","1","wcvp","0",""
"227","317","Mimosa myriophylla",1,"172392","Mimosa myriophylla",1,"species","","",NA,"Bong. ex Benth.","Fabaceae","Mimosa","Mimosa",1,"myriophylla","myriophylla",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:313164-2","","Y","Accepted","Mimosa myriophylla","Mimosa myriophylla","Bong. ex Benth.","172392","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:313164-2","","Fabaceae","1","1","wcvp","0",""
"228","318","Mimosa nanchititlana",1,"182117","Mimosa nanchititlana",1,"species","","",NA,"R.Grether & Barneby","Fabaceae","Mimosa","Mimosa",1,"nanchititlana","nanchititlana",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:280947-2","","Y","Accepted","Mimosa nanchititlana","Mimosa nanchititlana","R.Grether & Barneby","182117","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:280947-2","","Fabaceae","1","1","wcvp","0",""
"229","319","Mimosa neptunioides",1,"1040253","Mimosa neptunioides",1,"species","","",NA,"Harms","Fabaceae","Mimosa","Mimosa",1,"neptunioides","neptunioides",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:161844-2","","Y","Accepted","Mimosa neptunioides","Mimosa neptunioides","Harms","1040253","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:161844-2","","Fabaceae","1","1","wcvp","0",""
"230","320","Mimosa niederleinii",1,"167677","Mimosa niederleinii",1,"species","","",NA,"Burkart","Fabaceae","Mimosa","Mimosa",1,"niederleinii","niederleinii",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:161851-2","","Y","Accepted","Mimosa niederleinii","Mimosa niederleinii","Burkart","167677","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:161851-2","","Fabaceae","1","1","wcvp","0",""
"231","321","Mimosa nitens",1,"172394","Mimosa nitens",1,"species","","",NA,"Benth.","Fabaceae","Mimosa","Mimosa",1,"nitens","nitens",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:508388-1","","Y","Accepted","Mimosa nitens","Mimosa nitens","Benth.","172394","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:508388-1","","Fabaceae","1","1","wcvp","0",""
"232","322","Mimosa nossibiensis",1,"192658","Mimosa nossibiensis",1,"species","","",NA,"Benth.","Fabaceae","Mimosa","Mimosa",1,"nossibiensis","nossibiensis",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:508387-1","","Y","Accepted","Mimosa nossibiensis","Mimosa nossibiensis","Benth.","192658","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:508387-1","","Fabaceae","1","1","wcvp","0",""
