scientific_name_(check),reference,amostra_stefany,new_description_stefany,scientific_name_(original),name_phylogeny,genus,specific_Epithet,infraspecific_Epithet,rank,grains,outline,pollen_arrangement,DU_planes,ornamentation,pore_number,shorter_diameter_min,shorter_diameter_max,shorter_diameter_mean,longer_diameter_min,longer_diameter_max,longer_diameter_mean,pore_diameter_min,pore_diameter_max,pore_diameter_mean,exine_thickness_min,exine_thickness_max,exine_thickness_mean,sexine_thickness_mean,nexine_thickness_mean,voucher,herbarium,herbarium_code,voucher_review,image_of_literature
Mimosa acantholoba,LiauKang,59,x,Mimosa acantholoba,Mimosa_acantholoba,Mimosa,acantholoba,,Species,8,elliptical,rhomboidal,multiplanar,areolate,,7.263,9.607,8.529,10.265,14.004,12.800,0.104,0.209,0.157,0.104,0.313,0.209,,,M. F. Simon 826,CEN,,,
Mimosa acutistipula,Santos-Silva - 2013,,,Mimosa acutistipula,Mimosa_acutistipula,Mimosa,acutistipula,,Species,8,elliptical,rhomboidal,multiplanar,verrucate,,11,15.000,12.100,16.000,20.000,17.900,,,,,,,,,F. FranÃ§a 2262 / A. J. Castro s.n.,HUEFS / UEC 46098,,,Mimosa_acutistipula-Santos-Silva-2013-10Î¼m
Mimosa acutistipula var. acutistipula,Lima - 2008,,,Mimosa acutistipula var. acutistipula,Mimosa_acutistipula_acutistipula,Mimosa,acutistipula,acutistipula,Variety,8,,rhomboidal&tetrahedral,multiplanar,areolate&verrucate,,11.5,14.000,12.600,15.000,19.000,16.900,,,,1.000,1.000,1.000,,,E.B. Miranda 343 /  L.P. Queiroz et al. 6561,HUEFS / HUEFS,,,Mimosa_acutistipula_var. acutistipula-Lima-2008-5Î¼m / Mimosa_acutistipula_var. acutistipula-2-Lima-2008-5Î¼m
Mimosa adenocarpa,LiauKang,37,x,Mimosa adenocarpa,Mimosa_adenocarpa,Mimosa,adenocarpa,,Species,4,circular,decussate&tetrahedral,multiplanar,areolate&verrucate,4,7.5,15.300,11.067,10.000,21.580,14.466,0.467,0.963,0.715,0.313,0.562,0.438,,,F. G. Pereira 288 / CFCR 2109 / L.M. Borges 487,ESA / SPF / SPF,RB 640836,,
Mimosa adenophylla,Santos-Silva - 2013,,,Mimosa adenophylla,Mimosa_adenophylla,Mimosa,adenophylla,,Species,4,elliptical,,,verrucate scabrate,,14,17.000,15.500,19.000,25.000,22.000,,,,,,,,,J. S. Silva 988,UEC,,,
Mimosa adenophylla var. armandiana,Lima - 2008,,,Mimosa adenophylla var. armandiana,Mimosa_adenophylla_armandiana,Mimosa,adenophylla,armandiana,Variety,2&4,,decussate&rhomboidal,multiplanar&uniplanar,areolate&verrucate,,15,18.000,16.400,20.000,26.000,21.500,,,,1.000,1.000,1.000,,,R.M. Harley et al. 21605 / L.P. Queiroz & N.S. Nascimento 3694 / A.M. Giulietti & R.M. Harley 2075,CEPEC / HUEFS / HUEFS,,,Mimosa_adenophylla_var. armandiana-Lima-2008-5Î¼m / Mimosa_adenophylla_var. armandiana-2-Lima-2008-5Î¼m
Mimosa adenophylla var. mitis,Lima - 2008,,,Mimosa adenophylla var. mitis,Mimosa_adenophylla_mitis,Mimosa,adenophylla,mitis,Variety,2&4,,decussate&rhomboidal,multiplanar&uniplanar,areolate&verrucate,,14,17.000,15.400,20.000,25.000,22.000,,,,1.000,1.000,1.000,,,W.N. Fonseca 214 / R.P. Orlandi 389 / L.C.L. Lima et al. 175 / L.C.L. Lima et al. 184 /  L.C.L. Lima et al. 186,HRB / HRB / HUEFS 97657 / HUEFS 102068 / HUEFS 102066,,,Mimosa_adenophylla_var. mitis-Lima-2008-5Î¼m / Mimosa_adenophylla_var. mitis-2-Lima-2008-5Î¼m / Mimosa_adenophylla_var. mitis-3-Lima-2008-5Î¼m / Mimosa_adenophylla_var. mitis-4-Lima-2008-5Î¼m / Mimosa_adenophylla_var. mitis-5-Lima-2008-5Î¼m
Mimosa adenotricha,LiauKang,34,x,Mimosa adenotricha,Mimosa_adenotricha,Mimosa,adenotricha,,Species,4,elliptical,decussate&tetragonal&tetrahedral,multiplanar,areolate&verrucate,4,8.8,15.000,11.936,12.094,18.700,16.338,0.701,1.191,0.946,0.209,0.467,0.338,,,V. C. Souza 22449 / R. Mello-Silva 3162,ESA / SPF,HUEFS 193429 / NY 02702151,,
Mimosa aguapeia,LiauKang,,x,Mimosa aguapeia,Mimosa_aguapeia,Mimosa,aguapeia,,Species,4,elliptical,rhomboidal,uniplanar,areolate,4,15,20.000,18.500,20.000,27.500,24.800,,,,,,,,,L.M. Borges SN,SPF,,,
Mimosa albolanata var. brasiliana,LiauKang,,x,Mimosa albolanata var. brasiliana,Mimosa_albolanata_brasiliana,Mimosa,albolanata,brasiliana,Variety,4,elliptical,decussate&rhomboidal,multiplanar,areolate,4,12.5,15.000,13.100,17.300,25.000,20.400,,,,,,,,,N.T. Silva 57165,SPF,,,
