scientific_name_(check),reference,amostra_stefany,new_description_stefany,scientific_name_(original),name_phylogeny,genus,specific_Epithet,infraspecific_Epithet,rank,grains,outline,pollen_arrangement,DU_planes,ornamentation,pore_number,shorter_diameter_min,shorter_diameter_max,shorter_diameter_mean,longer_diameter_min,longer_diameter_max,longer_diameter_mean,pore_diameter_min,pore_diameter_max,pore_diameter_mean,exine_thickness_min,exine_thickness_max,exine_thickness_mean,sexine_thickness_mean,nexine_thickness_mean,voucher,herbarium,herbarium_code,voucher_review,image_of_literature
Mimosa papposa,Caccavari - 2002,,,Mimosa papposa,Mimosa_papposa,Mimosa,papposa,,Species,4,,tetragonal&tetrahedral,multiplanar&uniplanar,,,,,,,,12.000,,,,,,,,,,,,,Mimosa_papposa-Caccavari-2002-10Âµm
Mimosa paraibana,Lima - 2008,,,Mimosa paraibana,Mimosa_paraibana,Mimosa,paraibana,,Species,8,,,multiplanar,areolate&verrucate,,9.5,10.500,10.200,13.000,15.000,13.800,,,,0.500,0.500,0.500,,,M.F. Agra et al. 5735,HUEFS,,,Mimosa_paraibana-Lima-2008-5Î¼m
Mimosa pigra,Lima - 2008,,,Mimosa pigra,Mimosa_pigra,Mimosa,pigra,,Species,4,,decussate&rhomboidal,multiplanar&uniplanar,,,15,20.000,18.100,23.800,27.500,25.700,,,,1.000,1.000,1.000,,,L.P. Queiroz et al. 4775,HUEFS,IPA 81833,,
Mimosa pigra var. dehiscens,LiauKang,43,x,Mimosa pigra var. dehiscens  / Mimosa pigra,Mimosa_pigra_dehiscens,Mimosa,pigra,dehiscens,Variety,4,elliptical,decussate&rhomboidal,multiplanar&uniplanar,areolate&verrucate,4,13.882,20.000,16.703,20.000,27.242,22.289,0.700,0.945,0.823,0.313,0.430,0.372,,,J Paula-Souza 8103 / L.M. Borges 20,ESA / SPF,SPF 183407,J Paula-Souza 8103 = Mimosa pigra dehiscens,
Mimosa piresii,LiauKang,,x,Mimosa piresii,Mimosa_piresii,Mimosa,piresii,,Species,4,elliptical,decussate&rhomboidal,multiplanar&uniplanar,areolate,4,12.5,16.300,14.900,17.500,22.500,20.400,,,,,,,,,R.R.Riberio 1200,SPF,,,
Mimosa pithecolobioides,Lima - 2008 / LiauKang,,,Mimosa pithecolobioides,Mimosa_pithecolobioides,Mimosa,pithecolobioides,,Species,12,elliptical,irregular arangement polyad,multiplanar,areolate,,14,21.328,16.969,21.000,25.000,23.174,0.204,0.421,0.313,0.144,1.000,0.307,,,J.G. Jardim et al. 3274,HUEFS,,,Mimosa_pithecolobioides-Lima-2008-5Î¼m
Mimosa pringlei var. pringlei,Medina-Acosta-2018,,,Mimosa pringlei var. pringlei,Mimosa_pringlei_pringlei,Mimosa,pringlei,pringlei,Variety,8,elliptical,tetragonal,multiplanar,microverrucate,3&4,11.7,13.500,12.610,15.300,18.000,16.560,0.760,0.760,0.760,0.870,0.870,0.870,,,J. Rzedowski 53916 / E. Carranza 3305 / R. Grether et al. 2746,IEB53916 / - / -,,,Mimosa_pringlei_var.pringlei-Medina-Acosta-2018-10Î¼m / Mimosa_pringlei_var.pringlei-2-Medina-Acosta-2018-10Î¼m / Mimosa_pringlei_var.pringlei-3-Medina-Acosta-2018-5Î¼m / Mimosa_pringlei_var.pringlei-4-Medina-Acosta-2018-2Î¼m / Mimosa_pringlei_var.pringlei-5-Medina-Acosta-2018-200nm / Mimosa_pringlei_var.pringlei-6-Medina-Acosta-2018-200nm
Mimosa prorepens,LiauKang,,x,Mimosa prorepens,Mimosa_prorepens,Mimosa,prorepens,,Species,4,elliptical,decussate&tetrahedral,,areolate,4,10,12.600,11.800,12.500,18.000,16.900,,,,,,,,,Hatschback 60171,SPF,,,
Mimosa pseudosepiaria,Lima - 2008,,,Mimosa pseudosepiaria,Mimosa_pseudosepiaria,Mimosa,pseudosepiaria,,Species,8,,,multiplanar,areolate&verrucate,,9,14.000,10.400,13.000,16.500,14.900,,,,0.500,0.500,0.500,,,L. Passos et al. 389,HUEFS,,,
Mimosa pteridifolia,LiauKang/ Santos-Silva - 2013,3,,Mimosa pteridifolia,Mimosa_pteridifolia,Mimosa,pteridifolia,,Species,2&4,elliptical,tetragonal&tetrahedral,multiplanar&uniplanar,,,10.746,18.100,14.655,17.149,26.300,20.346,0.295,0.453,0.374,0.202,0.365,0.284,,,YBS37 / M. M. Arbo 3652 / M. Macedo 1089,SPSC / UEC / UEC,NY 00934110 (M. M. Arbo 3652) / UEC 30953,,
Mimosa pudica,Lima - 2008,,,Mimosa pudica,Mimosa_pudica,Mimosa,pudica,,Species,4,,decussate&tetrahedral,multiplanar,areolate,,9,11.000,10.100,10.000,11.000,10.400,,,,0.500,0.500,0.500,,,F. FranÃ§a et al. 1735,HUEFS,HUEFS 23306,,Mimosa_pudica-Lima-2008-5Î¼m / Mimosa_pudica-2-Lima-2008-5Î¼m
Mimosa quadrivalvis var. angustata,Flores-Cruz - 2006,,,Mimosa quadrivalvis var. angustata,Mimosa_quadrivalvis_angustata,Mimosa,quadrivalvis,angustata,Variety,4,elliptical,decussate,multiplanar,verrucate,,27,27.000,27.000,30.000,30.000,30.000,1.300,1.300,1.300,1.300,1.300,1.300,,,"J. K. Small s/n / R. Kral 4826, 4829",NY / BRIT,1453340,,
Mimosa quadrivalvis var. diffusa,Flores-Cruz - 2006,,,Mimosa quadrivalvis var. diffusa,Mimosa_quadrivalvis_diffusa,Mimosa,quadrivalvis,diffusa,Variety,4,elliptical,decussate,multiplanar,verrucate,,28,28.000,28.000,31.000,31.000,31.000,1.300,1.300,1.300,1.300,1.300,1.300,,,J. GonzÃ¡lez Ortega 5957 / M. Flores-Cruz & E. Lott 1367,TEX / CHAPA,,,
Mimosa quadrivalvis var. jaliscensis,Flores-Cruz - 2006,,,Mimosa quadrivalvis var. jaliscensis,Mimosa_quadrivalvis_jaliscensis,Mimosa,quadrivalvis,jaliscensis,Variety,4,elliptical,decussate,multiplanar,verrucate,,30,30.000,30.000,36.000,36.000,36.000,1.300,1.300,1.300,1.300,1.300,1.300,,,C. G. Pringle 4453 / J. J. Reynoso et al. 996,MEXU / IBUG,,,
Mimosa quadrivalvis var. nuttallii,Flores-Cruz - 2006,,,Mimosa nuttallii,Mimosa_quadrivalvis_nuttallii,Mimosa,quadrivalvis,nuttallii,Variety,4,elliptical,decussate,multiplanar,verrucate,,26,26.000,26.000,29.000,29.000,29.000,1.300,1.300,1.300,1.300,1.300,1.300,,,D. S. Correll 16380 / L. H. Shinners 12423,TEX / BRIT,,,
Mimosa quadrivalvis var. occidentalis,Flores-Cruz - 2006,,,Mimosa rupertiana,Mimosa_quadrivalvis_occidentalis,Mimosa,quadrivalvis,occidentalis,Variety,4,elliptical,decussate,multiplanar,microverrucate,,27,27.000,27.000,30.000,30.000,30.000,1.300,1.300,1.300,1.300,1.300,1.300,,,M. W. Bierner 91-50 / R. D. Worthington 7082,TEX / TEX,,,
Mimosa quadrivalvis var. paucijuga,Flores-Cruz - 2006,,,Mimosa paucijuga,Mimosa_quadrivalvis_paucijuga,Mimosa,quadrivalvis,paucijuga,Variety,4,elliptical,decussate,multiplanar,verrucate,,30,30.000,30.000,35.000,35.000,35.000,0.600,0.600,0.600,0.600,0.600,0.600,,,C. G. Pringle 11432,MEXU,,,Mimosa_paucijuga-Flores-Cruz-2006-1Î¼m
Mimosa quadrivalvis var. platycarpa,Flores-Cruz - 2006,,,Mimosa roemeriana,Mimosa_quadrivalvis_platycarpa,Mimosa,quadrivalvis,platycarpa,Variety,4,elliptical,decussate,multiplanar,microverrucate,,29,29.000,29.000,33.000,33.000,33.000,1.300,1.300,1.300,1.300,1.300,1.300,,,B. L. Turner 99-157 / V. L. Cory 59271,TEX / BRIT,,,
Mimosa quadrivalvis var. quadrivalvis,Flores-Cruz - 2006,,,Mimosa quadrivalvis var. quadrivalvis,Mimosa_quadrivalvis_quadrivalvis,Mimosa,quadrivalvis,quadrivalvis,Variety,4,elliptical,decussate,multiplanar,verrucate,,32,32.000,32.000,35.000,35.000,35.000,1.300,1.300,1.300,1.300,1.300,1.300,,,M. Flores-Cruz & A. MartÃ­nez-Bernal 1315 / J. Dorantes D-5027,CHAPA / MEXU,,,
Mimosa quadrivalvis var. urbaniana,Flores-Cruz - 2006,,,Mimosa quadrivalvis var. urbaniana,Mimosa_quadrivalvis_urbaniana,Mimosa,quadrivalvis,urbaniana,Variety,4,elliptical,decussate,multiplanar,microverrucate,,25,25.000,25.000,28.000,28.000,28.000,,,,,,,,,Axelrod 2498,NY,,,
Mimosa regnellii var. supersetosa,Caccavari - 2002,,,Mimosa regnelli var. supercetosa,Mimosa_regnellii_supersetosa,Mimosa,regnellii,supersetosa,Variety,4,,,,verrucate,,,,,,,27.000,,,,,,,,,Pereira 8365,RB,,,Mimosa_regnellii-Caccavari-2002-10Âµm
Mimosa rhodostegia,LiauKang,,x,Mimosa rhodostegia,Mimosa_rhodostegia,Mimosa,rhodostegia,,Species,4,elliptical,decussate&rhomboidal,multiplanar,areolate,4,12.5,15.000,13.400,17.500,22.500,20.700,,,,,,,,,M.L. Fonseca 590,SPF,,,
Mimosa robusta,Flores-Cruz - 2006,,,Mimosa robusta,Mimosa_robusta,Mimosa,robusta,,Species,4,elliptical,decussate,multiplanar,verrucate,,39,39.000,39.000,47.000,47.000,47.000,1.300,1.300,1.300,1.300,1.300,1.300,,,M. Flores- Cruz & F. Riveros 1370 / M. Flores-Cruz & F. Riveros 1330,CHAPA / CHAPA,,,Mimosa_robusta-Flores-Cruz-2006-10Î¼m / Mimosa_robusta-2-Flores-Cruz-2006-10Î¼m
Mimosa rupigena,LiauKang,,x,Mimosa setosa var. rupigena,Mimosa_rupigena,Mimosa,rupigena,,Species,4,elliptical,decussate&rhomboidal,multiplanar,areolate,4,12.5,15.000,13.400,17.500,21.300,19.500,,,,,,,,,"J. Semir, CFCR 179",SPF,,,
Mimosa scabrella,LiauKang / Bauermann et al. 2009,27,,Mimosa scabrella,Mimosa_scabrella,Mimosa,scabrella,,Species,4,oval,decussate&tetrahedral,multiplanar,scabrate,4,8,11.905,9.575,12.000,15.601,13.490,0.400,0.807,0.604,0.448,0.641,0.772,,,V. C. Souza 39542 / S. Diesel 604,ESA / HERULBRA,HERULBRA 1504,US 3397213 = S. Diesel 1504,
Mimosa schomburgkii,Santos-Silva - 2013,,,Mimosa schomburgkii,Mimosa_schomburgkii,Mimosa,schomburgkii,,Species,2&4,elliptical,tetragonal&tetrahedral,multiplanar&uniplanar,,,12.5,20.000,16.100,17.500,43.700,30.000,,,,,,,,,E. P. Heringer 13935 / G. E. Valente 841,UEC / UEC,,,Mimosa_schomburgkii-Santos-Silva-2013-SEM_ESCALA / Mimosa_schomburgkii-2-Santos-Silva-2013-1Î¼m
Mimosa sensitiva,Buril - 2010,,,Mimosa sensitiva,Mimosa_sensitiva,Mimosa,sensitiva,,Species,4,,tetrahedral,multiplanar,areolate,4,,,,7.700,9.600,8.650,,,,,,,,,Y. Melo 182 / E. CÃ³rdula 266,UFP / UFP,UFP 47358 / UFP 47361,,Mimosa_sensitiva-Buril-2010-5Î¼m / Mimosa_sensitiva-2-Buril-2010-5Î¼m / Mimosa_sensitiva-3-Buril-2010-5Î¼m / Mimosa_sensitiva-Buril-2010-5Î¼m / Mimosa_sensitiva-2-Buril-2010-5Î¼m / Mimosa_sensitiva-3-Buril-2010-5Î¼m
Mimosa sensitiva var. sensitiva,Lima - 2008,,,Mimosa sensitiva var. sensitiva,Mimosa_sensitiva_sensitiva,Mimosa,sensitiva,sensitiva,Variety,4,,decussate&tetrahedral,multiplanar,areolate,,8,9.000,8.300,8.000,10.000,8.800,,,,1.000,1.000,1.000,,,L.C.L. Lima et al. 181,HUEFS,,,
Mimosa sericantha,Santos-Silva - 2013,,,Mimosa sericantha,Mimosa_sericantha,Mimosa,sericantha,,Species,4,elliptical,rhomboidal&tetrahedral,multiplanar&uniplanar,,,10,13.000,11.900,17.200,31.000,23.000,,,,,,,,,G. Arbocz 685 / R. Farias 388,UEC / UEC,,,Mimosa_sericantha-Santos-Silva-2013-10Î¼m / Mimosa_sericantha-2-Santos-Silva-2013-1Î¼m
Mimosa setosissima,LiauKang,,x,Mimosa setosissima,Mimosa_setosissima,Mimosa,setosissima,,Species,4,elliptical,decussate&tetrahedral,multiplanar,areolate,4,10,18.700,12.100,15.000,20.000,17.200,,,,,,,,,Anderson 10236,SPF,,,
Mimosa setuligera,Lima - 2008,,,Mimosa setuligera,Mimosa_setuligera,Mimosa,setuligera,,Species,4,,tetrahedral,multiplanar,areolate&verrucate,3&4,10,12.000,10.900,11.500,14.000,12.700,,,,1.000,1.000,1.000,,,J.G.A. Nascimento et al. 108,HUEFS,,,Mimosa_setuligera-Lima-2008-5Î¼m
Mimosa somnians var. somnians,Lima - 2008,,,Mimosa somnians var. somnians,Mimosa_somnians_somnians,Mimosa,somnians,somnians,Variety,4,,decussate&rhomboidal,multiplanar&uniplanar,areolate&verrucate,,10,13.800,12.500,15.000,22.500,20.100,,,,1.000,1.000,1.000,,,L.P. Queiroz & N.S. Nascimento 3566,HUEFS,,,
Mimosa sousae,Medina-Acosta-2018,,,Mimosa sousae,Mimosa_sousae,Mimosa,sousae,,Species,4,circular&elliptical,tetrahedral,multiplanar,microverrucate&rugulate,3,10.33,10.330,10.330,14.670,14.670,14.670,1.630,1.630,1.630,1.040,1.040,1.040,,,A. MartÃ­nez-Bernal et al. 918 / C. MartÃ­nez R. 96 / C. MartÃ­nez R. 594,UAMIZ68085 / MEXU456461 / MEXU447971,,,Mimosa_sousae-Medina-Acosta-2018-5Î¼m / Mimosa_sousae-2-Medina-Acosta-2018-5Î¼m / Mimosa_sousae-3-Medina-Acosta-2018-5Î¼m / Mimosa_sousae-4-Medina-Acosta-2018-5Î¼m / Mimosa_sousae-5-Medina-Acosta-2018-2Î¼m / Mimosa_sousae-6-Medina-Acosta-2018-500nm / Mimosa_sousae-7-Medina-Acosta-2018-0.5Î¼m
Mimosa spirocarpa,Medina-Acosta-2018,,,Mimosa spirocarpa,Mimosa_spirocarpa,Mimosa,spirocarpa,,Species,8,elliptical,tetrahedral,multiplanar,microverrucate&rugulate,3&4,8.91,12.600,10.530,11.700,15.300,13.680,0.750,0.750,0.750,0.870,0.870,0.870,,,R. Grether et al. 2492 / A. Espejo et al. 4486 / R. Grether et al. 2487,UAMIZ49764 / UAMIZ47020 / UAMIZ27296,,,Mimosa_spirocarpa-Medina-Acosta-2018-5Î¼m / Mimosa_spirocarpa-2-Medina-Acosta-2018-5Î¼m / Mimosa_spirocarpa-3-Medina-Acosta-2018-5Î¼m / Mimosa_spirocarpa-4-Medina-Acosta-2018-5Î¼m / Mimosa_spirocarpa-5-Medina-Acosta-2018-2Î¼m / Mimosa_spirocarpa-6-Medina-Acosta-2018-2Î¼m / Mimosa_spirocarpa-7-Medina-Acosta-2018-200nm / Mimosa_spirocarpa-8-Medina-Acosta-2018-200nm / Mimosa_spirocarpa-9-Medina-Acosta-2018-200nm
Mimosa spixiana,Santos-Silva - 2013,,,Mimosa spixiana,Mimosa_spixiana,Mimosa,spixiana,,Species,4,elliptical,decussate&tetrahedral,multiplanar,,,13.5,18.000,16.000,17.500,22.500,18.200,,,,,,,,,A. B. Sampaio 551,UFG,,,Mimosa_spixiana-Santos-Silva-2013-1Î¼m / Mimosa_spixiana-2-Santos-Silva-2013-1Î¼m
Mimosa strobiliflora,LiauKang,31,x,Mimosa strobiflora,Mimosa_strobiliflora,Mimosa,strobiliflora,,Species,4,elliptical,decussate&rhomboidal,multiplanar&uniplanar,verrucate,,10.783,15.547,13.784,18.320,22.546,20.160,0.753,1.495,1.124,0.234,0.431,0.333,,,O.S. Ribas 3600,ESA,,,
Mimosa subenervis,Lima - 2008,,,Mimosa subenervis,Mimosa_subenervis,Mimosa,subenervis,,Species,4,,decussate,multiplanar,areolate&verrucate,3&4,19,25.000,21.700,26.000,30.000,28.500,,,,1.000,1.000,1.000,,,F. FranÃ§a et al. 3089,HUEFS,HUEFS 38506,,Mimosa_subenervis-Lima-2008-5Î¼m
Mimosa subinermis,Flores-Cruz - 2006,,,Mimosa subinermis,Mimosa_subinermis,Mimosa,subinermis,,Species,4,elliptical,decussate,multiplanar,,,26,26.000,26.000,30.000,30.000,30.000,,,,,,,,,E. Palmer 110,MEXU,,,Mimosa_subinermis-Flores-Cruz-2006-1Î¼m
Mimosa taimbensis,Barth & Yoneshigue - 1966,,,Mimosa taimbensis,Mimosa_taimbensis,Mimosa,taimbensis,,Species,4,circular,decussate,multiplanar,psilate,5,8.4,15.800,11.900,14.700,23.100,19.000,1.700,,1.700,,1.700,1.200,,0.800,Reitz & Klein 6992,HBR,HBR 25857,,
Mimosa tandilensis,Caccavari - 2002,,,Mimosa tandilensis,Mimosa_tandilensis,Mimosa,tandilensis,,Species,4,elliptical,,,verrucate,,,,,,,31.000,,,,,,,,,Ruiz Leal 22309,SI,,,Mimosa_tandilensis-Caccavari-2002-10Âµm
Mimosa tenuiflora,Buril - 2010 / Lima - 2008 / Santos-Silva - 2013 / LiauKang,47,,Mimosa tenuiflora,Mimosa_tenuiflora,Mimosa,tenuiflora,,Species,4,,decussate&tetrahedral,multiplanar,areolate&verrucate scabrate,4,7.8,19.000,14.063,11.000,25.000,20.373,0.200,0.510,0.355,0.400,0.610,0.505,,,M.T. Vital 87 / E. CÃ³rdula 186 / L.P. de Queiroz 7874 / L.P. Queiroz et al. 7841 / R. M. Harley 18971 / J. S. Silva 837 / J. S. Silva 890 / RP Lyra-Lemos 6998,UFP / UFP / HUEFS / HUEFS / UEC / UEC / UEC / ESA,UFP 47457 / UFP 47465 / HUEFS 72632 / HUEFS 72599 / COR 17709 (J. S. Silva 837) / ESA 99145,,Mimosa_tenuiflora-Buril-2010-5Î¼m / Mimosa_tenuiflora-2-Buril-2010-5Î¼m / Mimosa_tenuiflora-3-Buril-2010-5Î¼m / Mimosa_tenuiflora-Buril-2010-5Î¼m / Mimosa_tenuiflora-2-Buril-2010-5Î¼m / Mimosa_tenuiflora-3-Buril-2010-5Î¼m / Mimosa_tenuiflora-Buril-2010-5Î¼m / Mimosa_tenuiflora-2-Buril-2010-5Î¼m / Mimosa_tenuiflora-3-Buril-2010-5Î¼m / Mimosa_tenuiflora-Lima-2008-5Î¼m / Mimosa_tenuiflora-2-Lima-2008-5Î¼m / Mimosa_tenuiflora-Santos-Silva-2013-1Î¼m / Mimosa_tenuiflora-2-Santos-Silva-2013-1Î¼m
Mimosa tetragona,Flores-Cruz - 2006,,,Mimosa tetragona,Mimosa_tetragona,Mimosa,tetragona,,Species,4,elliptical,decussate,multiplanar,microverrucate,,25,25.000,25.000,30.000,30.000,30.000,,,,,,,,,J. A. Duke 5691 / R. Van et al. 3121,MO / NY,,,Mimosa_tetragona-Flores-Cruz-2006-1Î¼m
Mimosa trianae,Santos-Silva - 2013,,,Mimosa trianae,Mimosa_trianae,Mimosa,trianae,,Species,2&4,elliptical,,,,,12.9,15.000,14.000,13.200,20.000,15.500,,,,,,,,,D. O. Allen 3326,MO,,,
Mimosa ulbrichiana,Lima - 2008,,,Mimosa ulbrichiana,Mimosa_ulbrichiana,Mimosa,ulbrichiana,,Species,4,,decussate&rhomboidal,multiplanar&uniplanar,areolate&verrucate,3&4,19,22.000,20.500,25.000,29.000,26.800,,,,1.000,1.000,1.000,,,T.S. Nunes et al. 965,HUEFS,,,Mimosa_ulbrichiana-Lima-2008-5Î¼m
Mimosa ulei var. ulei,LiauKang,,x,Mimosa ulei var. ulei,Mimosa_ulei_ulei,Mimosa,ulei,ulei,Variety,4,elliptical,decussate&tetrahedral,multiplanar,areolate,4,7.5,12.500,11.400,17.500,20.000,18.400,,,,,,,,,Forzza 386,SPF,,,
Mimosa ursina,Lima - 2008,,,Mimosa ursina,Mimosa_ursina,Mimosa,ursina,,Species,1&2,,,,areolate,3,15,17.000,16.000,15.000,22.000,18.150,3.600,3.600,3.600,1.700,1.700,1.700,,,M.L.Guedes et al. PCD5161 / L.P. Queiroz et al. 9175 / T.S. Nunes et al. 1027A,HUEFS / HUEFS / HUEFS,HUEFS 28381 / HUEFS 82501 / HUEFS 111176,,Mimosa_ursina-Lima-2008-5Î¼m / Mimosa_ursina-2-Lima-2008-5Î¼m / Mimosa_ursina-3-Lima-2008-5Î¼m / Mimosa_ursina-4-Lima-2008-5Î¼m / Mimosa_ursina-5-Lima-2008-5Î¼m / Mimosa_ursina-6-Lima-2008-5Î¼m / Mimosa_ursina-7-Lima-2008-5Î¼m / Mimosa_ursina-8-Lima-2008-5Î¼m / Mimosa_ursina-9-Lima-2008-5Î¼m
Mimosa velloziana,Lima - 2008,,,Mimosa velloziana,Mimosa_velloziana,Mimosa,velloziana,,Species,4,,decussate&tetrahedral,multiplanar,areolate,,9,11.000,9.900,9.500,11.000,10.400,,,,0.500,0.500,0.500,,,L.P. Queiroz et al. 9185,HUEFS,,,
Mimosa verrucosa,Lima - 2008 / Santos-Silva - 2013,,,Mimosa verrucosa,Mimosa_verrucosa,Mimosa,verrucosa,,Species,4,elliptical,decussate,multiplanar,areolate&verrucate,,8,17.400,13.650,15.600,22.500,19.100,,,,1.000,1.000,1.000,,,K.R.B. Leite et al. 397 / J. S. Silva 827 / J. S. Silva and M. C. Abreu 877,HUEFS / UEC / UEC,HUEFS 75510 / COR 16793 (J. S. Silva 827),,Mimosa_verrucosa-Lima-2008-5Î¼m / Mimosa_verrucosa-2-Lima-2008-5Î¼m / Mimosa_verrucosa-Santos-Silva-2013-1Î¼m / Mimosa_verrucosa-2-Santos-Silva-2013-1Î¼m
Mimosa watsonii,Medina-Acosta-2018,,,Mimosa watsonii,Mimosa_watsonii,Mimosa,watsonii,,Species,12,elliptical,regular arangement polyad,multiplanar,microverrucate&rugulate,3,14.54,14.540,14.540,20.700,20.700,20.700,0.860,0.860,0.860,0.750,0.750,0.750,,,E. MartÃ­nez S. et al. 5797 / R. Torres C. et al. 7615 / E. Ventura et al. 2660,UAMIZ10551 / UAMIZ16109 / UAMIZ30668,,,Mimosa_watsonii-Medina-Acosta-2018-10Î¼m / Mimosa_watsonii-2-Medina-Acosta-2018-10Î¼m / Mimosa_watsonii-3-Medina-Acosta-2018-10Î¼m / Mimosa_watsonii-4-Medina-Acosta-2018-10Î¼m / Mimosa_watsonii-5-Medina-Acosta-2018-2Î¼m / Mimosa_watsonii-6-Medina-Acosta-2018-2Î¼m / Mimosa_watsonii-7-Medina-Acosta-2018-10Î¼m / Mimosa_watsonii-8-Medina-Acosta-2018-1Î¼m / Mimosa_watsonii-9-Medina-Acosta-2018-2Î¼m / Mimosa_watsonii-10-Medina-Acosta-2018-500nm / Mimosa_watsonii-11-Medina-Acosta-2018-200nm
Mimosa xavantinae,Santos-Silva - 2013,,,Mimosa xavantinae,Mimosa_xavantinae,Mimosa,xavantinae,,Species,4,elliptical,,,,,9,15.000,13.000,10.000,16.700,14.500,,,,,,,,,W. R. Anderson 9668,NY,,,
Mimosa xiquexiquensis,Lima - 2008,,,Mimosa xiquexiquensis,Mimosa_xiquexiquensis,Mimosa,xiquexiquensis,,Species,4,,decussate&tetrahedral,multiplanar,areolate&verrucate,3&4,11.3,15.000,13.000,15.000,18.800,16.600,,,,0.500,0.500,0.500,,,L.P. Queiroz et al. 7909,HUEFS,,,Mimosa_xiquexiquensis-Lima-2008-5Î¼m / Mimosa_xiquexiquensis-2-Lima-2008-5Î¼m / Mimosa_xiquexiquensis-3-Lima-2008-5Î¼m
Naiadendron duckeanum,Guinet & Caccavari - 1992,,,Stryphnodendron duckeanum,Naiadendron_duckeanum,Naiadendron,duckeanum,,Species,16,elliptical&oval,,,psilate&verrucate,,26.3,26.300,26.300,36.600,36.600,36.600,1.400,1.900,1.650,0.800,1.000,0.900,,,"Ducke s.n. (9.06.1930, isotype) / Monteiro et al. 929",RFA / INPA,,,Stryphnodendron_duckeanum-1-Guinet & Caccavari-1992-x1000 / Stryphnodendron_duckeanum-2-Guinet & Caccavari-1992-x1000 / Stryphnodendron_duckeanum-3-Guinet & Caccavari-1992-x1000 / Stryphnodendron_duckeanum-4-Guinet & Caccavari-1992-x1000
Neptunia prostrata,LiauKang,24,,Neptunia oleracea,Neptunia_prostrata,Neptunia,prostrata,,Species,1,,,,,,46.445,55.588,49.881,41.873,51.732,46.130,6.549,11.002,8.776,2.460,3.439,2.950,,,J. Paula-Souza 5201 (ESA 90819),ESA,,,
Parapiptadenia blanchetii,Caccavari - 2002 / Ribeiro - 2018,,,Parapiptadenia blanchetii,Parapiptadenia_blanchetii,Parapiptadenia,blanchetii,,Species,16,oval,,,psilate,,22.5,30.000,26.300,25.000,47.500,31.275,,,,1.000,1.000,1.000,,,Blanchet Typus! 3295 / Grupo Pedra do Cavalo 1096 / Lemos 56 / Melo 1410,RB / HUEFS / HUEFS / HUEFS,NY 3202 / HUEFS 1090 / HUEFS 2750 / HUEFS 24846,,Parapiptadenia_blanchetii-Caccavari-2002-10Âµm / Parapiptadenia_blanchetii-Ribeiro-2018-10Î¼m / Parapiptadenia_blanchetii-2-Ribeiro-2018-10Î¼m / Parapiptadenia_blanchetii-3-Ribeiro-2018-10Î¼m
Parapiptadenia excelsa,Caccavari - 2002,,,Parapiptadenia excelsa,Parapiptadenia_excelsa,Parapiptadenia,excelsa,,Species,12,,,,,,,,,,,36.000,,,,,,,,,J. Santos Biloni 4016,SI,,,Parapiptadenia_excelsa-Caccavari-2002-10Âµm
Parapiptadenia pterosperma,Caccavari - 2002 / Freitas-Cruz - 2018,,,Parapiptadenia pterosperma / Piptadenia pterosperma,Parapiptadenia_pterosperma,Parapiptadenia,pterosperma,,Species,16,circular,,,rugulate,,25,35.000,29.100,31.500,40.000,37.550,,,,,,2.000,1.000,1.000,Campos Porto 2481 / RD Ribeiro 62 & HG Dantas / H Lima et al. 2796,RB / RB / RB,RB 29706 / RB 406389 / RB 258410,,Piptadenia_pterosperma-Cruz-2018-5Î¼m / Piptadenia_pterosperma-2-Cruz-2018-5Î¼m / Piptadenia_pterosperma-3-Cruz-2018-5Î¼m
Parapiptadenia rigida,LiauKang,Predio,,Parapiptadenia rigida,Parapiptadenia_rigida,Parapiptadenia,rigida,,Species,16,,,,,,,,,,,,,,,,,,,,,SPSC,,,
Parapiptadenia zehntneri,Caccavari - 2002 / Buril - 2010 / Ribeiro - 2018,,,Parapiptadenia zehntneri,Parapiptadenia_zehntneri,Parapiptadenia,zehntneri,,Species,16,oval,regular arangement polyad,,areolate&psilate,4&6,20,32.500,26.000,23.800,37.500,30.400,,,,1.000,1.100,1.050,,,Harley 16198 / J.R.Lemos 262 / Bandeira 82 / ConceiÃ§Ã£o 2536 / Guedes 16085,"RB / IPA , HUEFS / HUEFS / HUEFS / HUEFS","RB 196355 / IPA 69464, HUEFS 95711 / HUEFS 19021 / HUEFS 127855 / HUEFS 170315",,Parapiptadenia_zehntneri-Buril-2010-10Î¼m / Parapiptadenia_zehntneri-2-Buril-2010-10Î¼m / Parapiptadenia_zehntneri-3-Buril-2010-10Î¼m / Parapiptadenia_zehntnerii-Ribeiro-2018-10Î¼m / Parapiptadenia_zehntnerii-2-Ribeiro-2018-10Î¼m / Parapiptadenia_zehntnerii-3-Ribeiro-2018-10Î¼m / Parapiptadenia_zehntnerii-4-Ribeiro-2018-10Î¼m
