cleaned_name,source,sample,new_description,scientific_name_original,scientific_name_check,genus,specific_epithet,infraspecific_epithet,rank,grains,outline,pollen_arrangement,ornamentation,pore_number,longer_diameter_mean,shorter_diameter_mean,pore_diameter_mean,exine_thickness_mean,sexine_thickness_mean,nexine_thickness_mean
Mimosa_foliolosa_paranani,Goicochea,10,x,Mimosa foliolosa var. paranani ,Mimosa foliolosa var. paranani,Mimosa,foliolosa,paranani,Variety,2,1,3&5,0&1,NA,20.16,12.96,0.31,0.28,NA,NA
Mimosa_foliolosa_pubescens,Goicochea,"41, 64",x,Mimosa foliolosa var. pubescens ,Mimosa foliolosa var. pubescens,Mimosa,foliolosa,pubescens,Variety,2,1,3&5,0&1,NA,19.138,13.304,0.84,0.33,NA,NA
Mimosa_foliolosa_vernicosa,Goicochea,NA,x,Mimosa foliolosa var. vernicosa ,Mimosa foliolosa var. vernicosa,Mimosa,foliolosa,vernicosa,Species,2,1,0&4&5,0,1,18.8,12.12,0.7,0.42,NA,NA
Mimosa_foliolosa_viscidula,Goicochea,NA,x,Mimosa foliolosa var. viscidula ,Mimosa foliolosa var. viscidula,Mimosa,foliolosa,viscidula,Variety,2,1,0,0,1,20.6,13,0.7,0.81,NA,NA
Mimosa_gracilis_capillipes,Goicochea,NA,x,Mimosa gracilis var. capillipes,Mimosa gracilis var. capillipes,Mimosa,gracilis,capillipes,Variety,2,1,0&3,0&4,NA,23.78,16.95,0.65,0.4,NA,NA
Mimosa_gemmulata,Goicochea; Lima et al. 2008; Santos-Silva et al. 2013,NA,NA,Mimosa gemmulata ,Mimosa gemmulata,Mimosa,gemmulata,NA,Species,2,1,0&4&5,0&4,NA,21.143,15.617,0.36,0.39,NA,NA
Mimosa_glutinosa,Santos-Silva et al. 2013,NA,NA,Mimosa glutinosa ,Mimosa glutinosa,Mimosa,glutinosa,NA,Species,2,1,3,NA,NA,18.5,12.8,NA,NA,NA,NA
Mimosa_guilandinae_extensissima,Caccavari 2002,NA,NA,Mimosa guilandinae var. extensissima ,Mimosa guilandinae var. extensissima,Mimosa,guilandinae,extensissima,Variety,5,1,1,0,NA,23,NA,NA,NA,NA,NA
Mimosa_hapaloclada,Santos-Silva et al. 2013,NA,NA,Mimosa hapaloclada ,Mimosa hapaloclada,Mimosa,hapaloclada,NA,Species,3,1,NA,NA,NA,22.1,15.5,NA,NA,NA,NA
Mimosa_hebecarpa,Santos-Silva et al. 2013,NA,NA,Mimosa hebecarpa ,Mimosa hebecarpa,Mimosa,hebecarpa,NA,Species,2,1,3,NA,NA,18.1,14,NA,NA,NA,NA
Mimosa_hexandra,Lima et al. 2008,NA,NA,Mimosa hexandra ,Mimosa hexandra,Mimosa,hexandra,NA,Species,3,NA,NA,0&4,NA,14.6,10.9,NA,0.5,NA,NA
Mimosa_honesta,Goicochea,NA,x,Mimosa honesta,Mimosa honesta,Mimosa,honesta,NA,Species,2,0,0&3,0&4,NA,7.88,6.78,0.215,0.21,NA,NA
Mimosa_hystricina,Flores-Cruz - 2006,NA,NA,Mimosa hystricina ,Mimosa hystricina,Mimosa,hystricina,NA,Species,2,1,0,4,NA,27,24,1.3,1.3,NA,NA
Mimosa_insignis,Santos-Silva et al. 2013,NA,NA,Mimosa insignis ,Mimosa insignis,Mimosa,insignis,NA,Species,2,1,3,NA,NA,16.6,12.5,NA,NA,NA,NA
Mimosa_interrupta,Santos-Silva et al. 2013,NA,NA,Mimosa interrupta ,Mimosa interrupta,Mimosa,interrupta,NA,Species,2,1,3,NA,NA,17.5,10.5,NA,NA,NA,NA
Mimosa_invisa,Buril et al. 2010; Lima et al. 2008,NA,NA,Mimosa invisa ,Mimosa invisa,Mimosa,invisa,NA,Species,2,1&2,0&3,0&4,1,22.233,18.033,NA,1.2,NA,NA
Mimosa_invisa_macrostachya,Goicochea,36,NA,Mimosa invisa var. macrostachya ,Mimosa invisa var. macrostachya,Mimosa,invisa,macrostachya,Variety,2,1,3,0,NA,23.787,16.959,0.63,0.338,NA,NA
Mimosa_irrigua,Lima et al. 2008,NA,NA,Mimosa irrigua ,Mimosa irrigua,Mimosa,irrigua,NA,Species,3,NA,NA,0&4,NA,18.5,13.1,NA,1,NA,NA
Mimosa_laniceps,Goicochea,NA,x,Mimosa laniceps ,Mimosa laniceps,Mimosa,laniceps,NA,Species,2,1,0,0,1,21,13.5,0.885,0.45,NA,NA
Mimosa_laticifera,Goicochea; Barth - 1973,45,NA,Mimosa laticifera ,Mimosa laticifera,Mimosa,laticifera,NA,Species,3,NA,3,4,0&1,20.403,15.572,0.713,0.313,NA,NA
Mimosa_latidens,Flores-Cruz - 2006,NA,NA,Mimosa latidens ,Mimosa latidens,Mimosa,latidens,NA,Species,2,1,0,4,NA,33,30,1.3,1.3,NA,NA
Mimosa_lepidophora,Lima et al. 2008,NA,NA,Mimosa lepidophora ,Mimosa lepidophora,Mimosa,lepidophora,NA,Species,4,NA,1,0,NA,22.7,18.6,NA,1.1,NA,NA
Mimosa_lewisii,Lima et al. 2008,NA,NA,Mimosa lewisii ,Mimosa lewisii,Mimosa,lewisii,NA,Species,2,NA,0,0&4,NA,23.5,17.1,NA,1.1,NA,NA
